,modified_Carapungo,modified_SanAntonio,modified_Tumbaco,modified_Guamani,modified_Cotocollao,modified_Belisario,modified_Centro,modified_LosChillos,modified_ElCamal,Method,Frequency,AOD_Filter,Max_Belisario,Max_Carapungo,Max_Centro,Max_Cotocollao,Max_ElCamal,Max_Guamani,Max_LosChillos,Max_SanAntonio,Max_Tumbaco
PM25,-0.1329965405083859,0.0417225774144207,0.0505354905273562,0.4043433890003143,0.1636293069383546,0.0585731503889026,0.2833728995138238,0.2773227434851549,0.0991564995432637,mean,seasonal,NoZeroAOD,,,,,,,,,
PRE,-0.0721591803453022,-0.425685462511914,-0.3823409923276666,-0.3811029188114442,-0.0717137683015672,-0.0714778186940184,0.0581059165471576,-0.1934333755979819,-0.1532232657621708,mean,seasonal,NoZeroAOD,,,,,,,,,
RS,-0.0157248803389209,0.4689928207489259,0.4502099037251101,0.3360091626349227,0.2438327289052741,-0.0260627508159133,-0.2577369130492434,0.5405206070695826,0.0256466166818702,mean,seasonal,NoZeroAOD,,,,,,,,,
SO2,-0.0111411955757712,0.3932430435044647,,0.2233771546954028,-0.0219395561604484,0.1496322443400765,0.2635737396660518,0.3481253731393198,-0.1255941257210343,mean,seasonal,NoZeroAOD,,,,,,,,,
TMP,0.0294618008436095,0.3001591154763827,0.0889025832198903,0.34767931830645,-0.0435600316079707,-0.1643107949615427,-0.1793037117449885,0.4270584383409577,-0.1501960944798689,mean,seasonal,NoZeroAOD,,,,,,,,,
VEL,0.0931919464190667,0.3808721272448928,0.3470526046612224,0.1677001836188693,0.2739107627744302,0.0977559235306418,-0.3495777454431056,0.2179993865807083,0.1175251295941725,mean,seasonal,NoZeroAOD,,,,,,,,,
CO,-0.1437548964709423,,0.0314105567898017,-0.1305681499814042,0.1640183449485989,0.119192458296063,0.3761740077439526,-0.3580036551777957,-0.0437527120185342,mean,seasonal,NoZeroAOD,,,,,,,,,
DIR,-0.0298499315782164,0.1977992981629316,-0.1808248716703833,-0.1687166955949647,-0.0944601891954354,-0.3301138051843863,0.3511979924199481,0.070958437376133,0.1883610724206416,mean,seasonal,NoZeroAOD,,,,,,,,,
HUM,0.1961347766649829,-0.1166881270670641,-0.2210404784244894,-0.1507018606116032,0.2012595280729198,0.2017286170304286,-0.2786100627483407,-0.2562474595549126,0.1490024484492739,mean,seasonal,NoZeroAOD,,,,,,,,,
LLU,0.135001482481444,-0.0433923175130816,0.0639174694258861,-0.4658552045458751,0.0052577664033131,0.1045176186817292,0.0670999397878778,0.0084351983484413,0.0706423682364615,mean,seasonal,NoZeroAOD,,,,,,,,,
NO2,0.1218807148177838,,0.2189517372199418,0.3419947802294257,0.058853759986962,0.1557793880124553,0.1428231174928967,0.2565212444274342,0.1427872040904153,mean,monthly,NoZeroAOD,,,,,,,,,
O3,0.0606950728203514,0.115649912289731,0.4595981497199801,0.2087836732447763,-0.0431419188018358,0.0998484010236356,0.2261340433480036,0.1512622208169999,0.2379090609296311,mean,monthly,NoZeroAOD,,,,,,,,,
PM25,-0.1098794946996114,-0.09097148167478,0.0418092434997621,0.3290782252951448,0.0521583531448341,0.0183944840924641,0.052821022561835,0.3111579408624982,0.0396668698275151,mean,monthly,NoZeroAOD,,,,,,,,,
PRE,-0.0292086425252668,-0.2773889786144856,-0.3034693195976365,-0.1393122818594369,0.0098584907148136,0.0056562116743606,-0.2931067950587404,-0.2194203062685871,-0.2311580691608883,mean,monthly,NoZeroAOD,,,,,,,,,
RS,-0.0912791275367364,0.1653898457653368,0.3765049348764683,-0.0579049477070058,0.0510020145610729,-0.0711078509178318,0.0668678837148243,0.1620246067641911,0.1015128755987099,mean,monthly,NoZeroAOD,,,,,,,,,
SO2,-0.0641117839850076,0.0200200892785173,,0.2836113007936341,-0.0774416896096754,-0.0126748966473328,-0.0237971880409993,0.2148651441631495,-0.1193296675393831,mean,monthly,NoZeroAOD,,,,,,,,,
TMP,0.0307491702831268,0.1088406607998821,0.0366155282610828,-0.1012366282829443,0.0177870693648064,-0.0288862203547476,-0.0288829206855584,0.1896798907508731,0.0153027052345608,mean,monthly,NoZeroAOD,,,,,,,,,
VEL,0.0134906794301553,0.1680962698205887,0.1666559677395189,-0.0619484269437857,0.0584969026502638,0.0622941134220132,0.1407283822118865,0.1075704988477812,0.148018894989898,mean,monthly,NoZeroAOD,,,,,,,,,
CO,-0.0979579827372334,,0.0561488810066311,0.0428506150458515,0.0832833477546463,0.0702228041961432,-0.0033806054441302,-0.0830867075727635,-0.1257276988893772,mean,monthly,NoZeroAOD,,,,,,,,,
DIR,0.0082275397631852,0.2076631081321399,-0.2374581566531445,-0.2032784710337708,-0.0604019491374162,-0.1419405908106064,0.1147089137000339,-0.0143813111491614,-0.028742335754744,mean,monthly,NoZeroAOD,,,,,,,,,
HUM,0.1508551351056817,-0.2416667261238138,-0.1961095803818028,0.0519000628147313,0.1654728998442693,0.1199611062926137,-0.1826334859886431,-0.1074435741966625,0.0884409400170134,mean,monthly,NoZeroAOD,,,,,,,,,
LLU,0.1035786255760114,-0.2248491964656133,0.1499353917597077,-0.1340861419041497,0.0638705862535215,0.0967201220077681,-0.0086988407105142,-5.254084336535337e-05,0.0467643305865358,mean,monthly,NoZeroAOD,,,,,,,,,
NO2,0.0035965699729984,,0.0710436041330438,-0.1106697956262029,-0.0050869089171589,-0.075672516860186,-0.0109573467766943,0.0299751301804661,0.0036654907260992,mean,weekly,AllAOD,,,,,,,,,
O3,-0.0103042348501541,-0.079856568299105,-0.0277546467623943,-0.0058426328846542,-0.044378281707213,-0.1211748854471914,-0.0302621011723961,0.0018707147475199,-0.0369858756131438,mean,weekly,AllAOD,,,,,,,,,
PM25,0.0996745878899083,0.00402798265643,0.063773475375195,0.013929313877226,-0.0607521935317892,-0.0792337454133667,-0.0469555887719494,0.0097273388709945,0.0312442608317088,mean,weekly,AllAOD,,,,,,,,,
PRE,0.0302361413186086,-0.108262033675015,-0.1404812642852418,0.0333067449253336,0.0480993616948002,0.0791000329448603,-0.0154408488496477,-0.1165591304525496,0.0804217371119953,mean,weekly,AllAOD,,,,,,,,,
RS,0.0040137434162534,-0.0713158473870527,0.1351214143242173,0.0492008644676785,-0.0512723541425644,-0.0785127496289271,-0.0766753643396907,0.0580387191836266,-0.0870880059246073,mean,weekly,AllAOD,,,,,,,,,
SO2,0.015992804925062,-0.051756610719717,,-0.0449458642265553,0.0438965469582818,-0.0181063140916242,-0.0521590662538217,-0.0501206322173821,0.0255990410517196,mean,weekly,AllAOD,,,,,,,,,
TMP,0.002342960870483,0.0439297155225209,0.0724737202648717,0.1129163898048142,0.1105949308314112,0.0592462070268929,0.0131372221964493,0.0210321632316448,0.0236877001238945,mean,weekly,AllAOD,,,,,,,,,
VEL,0.0096991278779683,-0.1033250314980386,0.0624380769932657,0.142383610458677,-0.0214174173743839,-0.0403856708184358,-0.1078198230755258,0.0551412220198827,-0.0883578274949231,mean,weekly,AllAOD,,,,,,,,,
CO,0.0618384445258554,,0.1104952664897946,-0.0391466825729578,-0.0873152715168879,0.0166088353072523,-0.0138589332545764,0.0019274862570174,-0.0058698539469224,mean,weekly,AllAOD,,,,,,,,,
DIR,-0.0771859251728957,-0.0503592379642109,0.0332994886603992,0.0726936246997143,0.0285008379814251,0.1412691446909686,0.0630470262843193,-0.1162284777785309,0.0152353362129391,mean,weekly,AllAOD,,,,,,,,,
HUM,-0.1432175164602736,-0.049125809738983,-0.172346661973993,-0.1440821844927775,-0.1923942108091223,-0.0689805140231843,-0.0242925733317819,-0.1266420249662868,-0.1156746794805728,mean,weekly,AllAOD,,,,,,,,,
LLU,-0.024639154779697,-0.053804851264798,-0.0388921673515996,-0.0850740314531501,-0.1220760662673232,0.0135037920721343,0.0325056118853581,-0.0260998590245238,-0.0875483552826992,mean,weekly,AllAOD,,,,,,,,,
NO2,0.0377651318358879,,0.0213192345027397,-0.3246497585178693,0.0130302449005728,-0.1382569598220225,0.0498290097130303,0.1681895832366127,-0.0281173411824117,mean,monthly,AllAOD,,,,,,,,,
O3,-0.0797959672539286,-0.18748647383019,-0.0123601730604645,-0.1219034551282125,-0.0476178007512265,-0.2185065948935221,-0.121575286921561,-0.0408377284869733,-0.0745993131691446,mean,monthly,AllAOD,,,,,,,,,
PM25,0.2444720552302354,0.0500004860847624,-0.1128330364426119,-0.11595221296455,0.0154636925927286,-0.1153191785536745,-0.0305636284989908,-0.0480859034733483,0.1670503326097458,mean,monthly,AllAOD,,,,,,,,,
PRE,0.056694365437704,0.0533306744571941,-0.0381623008503663,0.3468010678200802,0.1042018371209938,0.1563688146070181,-0.0230923866980326,-0.0494261186650916,0.1971156163075665,mean,monthly,AllAOD,,,,,,,,,
RS,-0.109353979011788,0.0523425369704574,-0.0007245994293787,0.0572097371909273,-0.094079808845017,-0.1288782961389911,-0.2534132743108716,0.0905434447181101,-0.1180086059702878,mean,monthly,AllAOD,,,,,,,,,
SO2,0.0425334777912,-0.075820134980655,,-0.1655392112229393,0.1571311298384076,-0.030965288253131,-0.0751434444890003,0.0162925972346337,0.0965579726599938,mean,monthly,AllAOD,,,,,,,,,
TMP,0.0197273754161969,0.2547181732766853,0.0150889185038189,0.1604806146263177,0.1614512956350718,0.0987075764466726,-0.049150360652321,-0.0364068115635629,0.0575370295443121,mean,monthly,AllAOD,,,,,,,,,
VEL,-0.0249816037038081,-0.2395960300950916,0.0079667237120298,0.2817598235865857,-0.1678689140536831,-0.0771970596664408,-0.3377690842363842,-0.0820539643927741,-0.1397405095824816,mean,monthly,AllAOD,,,,,,,,,
CO,0.2017528896512762,,0.1296065442677524,-0.1693740077096864,-0.132744153602524,-0.0131314299127827,0.0910133322368514,0.0222719512965216,0.1776080326416969,mean,monthly,AllAOD,,,,,,,,,
DIR,-0.1635285633693971,0.2694241823167357,0.1809861286819271,0.2036472324562555,0.1880327253137405,0.2359759904579695,0.2137614065565921,-0.047050365626695,0.1006013064295139,mean,monthly,AllAOD,,,,,,,,,
HUM,-0.2896849937526257,-0.3002930332998535,-0.0528813428500851,-0.1800559667350735,-0.3561069469781858,-0.1324045272548596,-0.0325997487509007,-0.1139330498721397,-0.2289018720686337,mean,monthly,AllAOD,,,,,,,,,
LLU,-0.1742519313931033,-0.2152255785883979,0.157631207702206,-0.0255755102705809,-0.2516527300653713,-0.0226265430131429,0.0020919600338229,0.0404614943726326,-0.1738127804017046,mean,monthly,AllAOD,,,,,,,,,
NO2,-0.1241393813188909,,0.0799628754363143,-0.1935815021494779,-0.2379731325966257,-0.0166598175617406,0.2720809656927776,0.24356336069956,-0.2232861757983966,mean,annual,AllAOD,,,,,,,,,
O3,0.3117341922646274,0.2491893653969597,-0.5880609631969902,-0.191119084656458,-0.4077869456950093,-0.3138039864985929,-0.4894148489617856,0.4658963659083918,0.2856894123333668,mean,annual,AllAOD,,,,,,,,,
PM25,0.5512050309397873,0.1846287940616974,0.3644225370100966,0.3159746238773583,0.2729385101378948,0.1909561697542069,0.1439211780944307,-0.4086898733967854,-0.0920151196410315,mean,annual,AllAOD,,,,,,,,,
PRE,-0.278983296420452,-0.4013913050704427,-0.7611859671063456,-0.2924170337796121,-0.1575784923469882,0.0245720325041589,-0.7702579589227961,-0.5757381151900746,0.2873777369901832,mean,annual,AllAOD,,,,,,,,,
RS,-0.1472606750215468,0.1563329092464476,-0.6964245912948367,0.2990673965281875,0.0259549429485155,-0.130637767964362,-0.864731695757732,0.4247642065290309,-0.2057365492365432,mean,annual,AllAOD,,,,,,,,,
SO2,-0.3462684317432746,0.0795863846775509,,-0.0347636525692766,0.2160970019521802,-0.0797260694400642,-0.2936009811659975,-0.000128130774434,-0.484396869061914,mean,annual,AllAOD,,,,,,,,,
TMP,-0.161197821648778,-0.5925801310994618,-0.6770911899747508,-0.142422894947436,0.2010963839670505,0.0686612800629782,-0.5198297232525627,-0.4729794689119801,0.1813733340466257,mean,annual,AllAOD,,,,,,,,,
VEL,0.1820547416659627,0.1017307177392517,0.2775466585585815,0.7182289021001163,0.0025230478719523,0.0074457950620263,-0.8681895627014348,0.1031082049459883,-0.2892097232766875,mean,annual,AllAOD,,,,,,,,,
CO,0.1615499060481924,,0.0638283235857898,-0.1549339656556806,0.065387144495753,0.0253933801234337,0.6109472153041746,0.5634253292954395,0.4971382393395457,mean,annual,AllAOD,,,,,,,,,
DIR,-0.2341421756941649,0.7546757946442387,0.5824966544887098,0.5496696322511782,-0.0163306530100468,0.1982293619130355,0.4000670458130178,0.2273394247620744,-0.0576529935095188,mean,annual,AllAOD,,,,,,,,,
HUM,-0.561437866976664,-0.4317817553504594,0.0393105362054817,-0.3079173871407031,-0.4702830935247752,-0.2154313398979766,-0.2540976928007111,-0.2656030254893827,-0.4468142097788072,mean,annual,AllAOD,,,,,,,,,
LLU,0.2255865086574641,-0.6937881757260396,0.7348671802285723,-0.0139911449638114,-0.1581257732618321,-0.0294213421030566,0.1703324835863226,0.6133062151676512,-0.3246553327262395,mean,annual,AllAOD,,,,,,,,,
NO2,,,,,,,,,,max,weekly,AllAOD,0.0665337535908701,-0.0164507994677755,0.1230751004996013,0.1814470905490852,0.1248106033234244,-0.0543735733290272,0.1681830485279835,,0.1750307409088991
O3,,,,,,,,,,max,weekly,AllAOD,0.0346491077917621,0.0280673969004155,0.0519224968010234,0.0320758368459061,0.074823474008182,-0.0853935657962735,0.0607931964166354,0.2906606299402373,0.1953467557664474
PM25,,,,,,,,,,max,weekly,AllAOD,0.0598186085727234,0.0227745771375174,0.0714777689014215,0.1000554335291068,0.0694216478628778,0.0219936598136449,0.0191079080248491,-0.0963088378044207,0.082005534818773
PRE,,,,,,,,,,max,weekly,AllAOD,0.1081423005706727,0.0601380383369978,0.0402574217421229,0.037343867658648,0.1195595884260931,0.0756795545182326,0.2101037440893912,0.1923884036155782,0.2144701197874357
RS,,,,,,,,,,max,weekly,AllAOD,0.1187480388579027,0.0343398872800158,0.1453394672612489,0.1330580493118912,0.1098741120349012,0.109925476695427,0.1647388556168664,0.1597501042153382,0.150883165362981
SO2,,,,,,,,,,max,weekly,AllAOD,0.096770201784125,0.0408734788618633,0.0710893557039254,0.1442898651425054,0.0508883651152911,0.0344827136251437,0.0017993001465711,0.3732999870794643,
TMP,,,,,,,,,,max,weekly,AllAOD,0.129294516108695,0.097091747994783,0.0620114533472292,0.1620331117892844,0.1368262981360561,0.055627291348555,0.1258131504085211,0.0406477481086475,0.1336050441583999
VEL,,,,,,,,,,max,weekly,AllAOD,0.1662972976802004,0.0189528594394425,0.0362792882882249,0.1362850799975645,0.1166268603254386,0.0385689619469874,0.3065406759525029,0.3179872423226165,0.2386044851465554
CO,,,,,,,,,,max,weekly,AllAOD,0.1223294352605889,0.0739387003686643,0.1779845270330542,0.1549847150895133,0.0900916928436231,0.0222863101799388,0.2593545903879917,,0.1361747379192393
DIR,,,,,,,,,,max,weekly,AllAOD,0.1467776176365087,0.0508394628661636,0.2019503264878285,0.1677367728339303,0.1132955707578279,0.0052828117245874,0.0489727181710333,0.0913720341802423,0.1350837640368255
HUM,,,,,,,,,,max,weekly,AllAOD,0.0120552795277301,0.0552077571776576,0.1677872583633184,0.0570251891628298,-0.038161794798464,-0.0251827117265648,0.0721821336203516,0.162622541333794,0.0863911209751203
LLU,,,,,,,,,,max,weekly,AllAOD,0.0993582814297662,-0.0445749552463139,0.2045028752842132,-0.014195700507028,0.0211950717395586,0.0035430403228379,0.1819029929930482,-0.1189330762373484,0.0960463979300284
NO2,,,,,,,,,,max,seasonal,AllAOD,0.238121371950147,0.132983095456021,0.4618521141342685,0.3820675537772909,0.2453163129468252,0.2206910637237884,0.6386660562863447,,0.7865365845176118
O3,,,,,,,,,,max,seasonal,AllAOD,0.152399967049527,0.2357415775832664,-0.1389385882981314,0.1174882873214093,0.1553304131719093,0.1345579859098692,0.3501671511694266,0.4753967381144717,0.4429131504640903
PM25,,,,,,,,,,max,seasonal,AllAOD,0.2924312016658484,0.2472209019010356,0.1827880705197277,0.1808099833545272,0.1501612366384013,0.407740275587923,0.4770957946986057,0.3385274332159418,0.1628322842222512
PRE,,,,,,,,,,max,seasonal,AllAOD,0.2647718422048856,0.2951797038121687,0.0104397778500204,-0.0012812497232188,0.1589794112946487,0.2983177109022324,0.3382008334669679,0.3944992078752335,0.2848152451275705
RS,,,,,,,,,,max,seasonal,AllAOD,0.18038733345464,0.1078526621038719,0.1703333438979389,0.2860476843569334,-0.0349110203855446,0.1267446316684564,0.6244815143926055,0.4215707558803454,0.4443060096797868
SO2,,,,,,,,,,max,seasonal,AllAOD,0.0620518750210405,0.1583403913793919,0.3754352173534485,0.3046174354269299,0.0524981336979245,0.0104168933899288,0.3004463843133533,0.5210701447603697,
TMP,,,,,,,,,,max,seasonal,AllAOD,0.3916879847541384,0.353714436564088,0.2378571767566171,0.5402026300418097,0.2803851461059872,0.0829574917201877,0.5619448824138061,0.2984910244037356,0.3654471949929755
VEL,,,,,,,,,,max,seasonal,AllAOD,0.2443515786637246,0.0257820865040955,0.3542321946919228,0.3776613523808048,0.1335673122391592,0.379386464445426,0.8299320183484853,0.4188984519781555,0.5612162513741598
CO,,,,,,,,,,max,seasonal,AllAOD,0.1838810609612963,0.4213598095466592,0.4635359957009138,0.3307158075294589,0.1394871016537784,0.2723439321047662,0.6735378181018294,,0.2239308577104714
DIR,,,,,,,,,,max,seasonal,AllAOD,0.3487423212371305,0.2515075226987043,0.5136880776451486,0.3158156688732832,0.0728447354510229,0.3493299180337283,0.4577464541733758,0.414683833140048,0.6578071079789227
HUM,,,,,,,,,,max,seasonal,AllAOD,0.1728474137722266,0.1218744666524985,-0.1290538277680351,0.2157768270626683,0.0137769676467387,0.2573886655674094,0.608275720998328,0.2300361626668209,0.2990119506112906
LLU,,,,,,,,,,max,seasonal,AllAOD,0.3680420075710358,0.3072442844737904,0.3426884348377892,0.0366324417007719,-0.0679853491789537,0.3868266118998682,0.397758343588582,0.1463784697084143,0.3558922962221135
NO2,,,,,,,,,,max,monthly,AllAOD,0.300039464560722,0.0581179468314857,0.1759333168314548,0.3182822716870668,0.1742326501382973,0.079384730479207,0.3369769296946048,,0.3990307198126806
O3,,,,,,,,,,max,monthly,AllAOD,0.150245713430993,0.1003879837741616,0.0779745071819098,0.2103341861193391,0.1974560841528493,0.0078574712998638,0.0806156216602153,0.381761878290547,0.3656877168750914
PM25,,,,,,,,,,max,monthly,AllAOD,0.1194561333087404,0.1417340617725714,-2.1003576284668665e-05,0.3175975977353935,0.1234469736218685,0.1943250232404086,0.2595498002186214,0.0596229483006368,0.1128704356154717
PRE,,,,,,,,,,max,monthly,AllAOD,0.2333488398141301,0.1991910243187208,0.153478053922755,0.147653916743449,0.2273303788746437,0.195462139079981,0.3863188274664386,0.267617621552105,0.5157165766595223
RS,,,,,,,,,,max,monthly,AllAOD,0.1936231691515297,0.1572895470127116,0.1865260485465829,0.3596647775445484,0.1663527367106467,0.113408385452259,0.2850144288327433,0.1773303778525735,0.1797719989788695
SO2,,,,,,,,,,max,monthly,AllAOD,0.1547847256698246,0.1542370690950173,0.0146281153227521,0.282852090484152,0.1461065827212199,-0.0033322205461342,0.1290158414322691,0.4038821933377621,
TMP,,,,,,,,,,max,monthly,AllAOD,0.2661008000126272,0.2639399531211603,0.1568466692088093,0.4637906231527061,0.3307036434281092,0.1252989194107225,0.3259487538738654,-0.1767861685600938,0.2243568991019641
VEL,,,,,,,,,,max,monthly,AllAOD,0.3041781179767734,0.1330323225563622,0.164581240234817,0.4543001425727254,0.2378412325365974,0.2296474284144835,0.5936449910505698,0.340875022415985,0.4050625313813356
CO,,,,,,,,,,max,monthly,AllAOD,0.2732842232037476,0.2827882933012722,0.0569848253229905,0.3588558186460732,0.1415560525083992,0.1320262807748409,0.4165517676364892,,0.2091485238676539
DIR,,,,,,,,,,max,monthly,AllAOD,0.2925544200253599,0.1950751877101073,0.2879613749761907,0.3567515015268813,0.1761313415500066,0.1674246684941003,0.1947683675450424,0.4358860825811351,0.5047560791901509
HUM,,,,,,,,,,max,monthly,AllAOD,0.2159666970368014,0.0406707046465628,0.0146352334334323,0.2377803428606485,0.0751589617754161,0.0418270267212868,0.2956895432342943,-0.1189125692934466,0.0523030974610378
LLU,,,,,,,,,,max,monthly,AllAOD,0.2814617924178338,-0.0354577539921252,0.1175654365493998,0.1103654932429579,-0.0179702092191774,0.3106191801368557,0.3303130434696376,-0.1358753551009143,0.2648522673052224
NO2,,,,,,,,,,max,annual,AllAOD,0.7823953586434429,0.3712614787034523,0.6780163219139578,0.6238257994925183,0.0103767898778645,0.5550518743646669,0.5584656782682468,,0.8399465525714727
O3,,,,,,,,,,max,annual,AllAOD,-0.1046155796061051,0.3337710541295264,-0.0913614958333308,0.223857504865221,0.8752066706581613,-0.3781367711600571,0.0898100869970039,0.7175149734238595,0.9518426574614816
PM25,,,,,,,,,,max,annual,AllAOD,0.6498741268409913,0.2517229634698235,0.1670199903704033,0.3552003698238752,0.00388130244687,0.0365107308828221,-0.1542264884451907,0.6250906867450566,0.7867414964361065
PRE,,,,,,,,,,max,annual,AllAOD,0.3939028875588941,0.2425784892428383,-0.0685890704558012,0.4801452362577725,0.3944218191704273,0.0709334018472393,0.0486128729280202,0.5301853538972985,-0.6101831234042082
RS,,,,,,,,,,max,annual,AllAOD,-0.083984262599375,-0.0669417987431272,-0.0422500384227754,0.0312290578596096,0.1332707587676264,-0.0154541117388858,0.0396967115291559,0.746591154532916,-0.2866183705862298
SO2,,,,,,,,,,max,annual,AllAOD,0.4180399305454945,0.0765980241036796,-0.2228154985658503,0.4737575696724139,-0.1669726749502351,-0.0387246352140623,-0.2805054800016752,0.3857112144067002,
